location|category|year|month|text
san_francisco|Wages and Prices|2012|4|Price inflation for most final goods and services remained subdued during the reporting period, with the notable exception of gasoline. While contacts noted an increase in the prices of oil and selected other commodities, resulting cost increases generally were absorbed in profit margins rather than pass-through to final prices. Restaurant prices were an exception, with notable increases reported. Looking ahead, contacts in general expect prices for their products to hold largely stable or increase slightly during the second half of the year compared with the first half.
san_francisco|Retail Trade and Services|2012|4|Retail sales continued to improve. Discount chains reported modest increases in sales, while traditional department stores noted stronger gains, particularly in the luxury segments of the market. Demand continued to improve for retailers of home furnishings and major appliances. By contrast, sales remained largely flat for grocers. Sales of new automobiles continued to strengthen, with high gas prices spurring especially strong growth for fuel-efficient vehicles. Similarly, demand for used vehicles remained robust.
san_francisco|Manufacturing|2012|4|District manufacturing activity rose a bit on net during the reporting period of late February through the end of March. Makers of commercial aircraft and parts saw limited new orders, but an extensive order backlog kept production rates near capacity. Manufacturers of semiconductors and other technology products reported some firming in new orders and indicated that they expect demand growth to pick up further in coming months. Capacity utilization rates continued to hold largely stable for petroleum refiners as weak domestic gasoline demand was offset by strong foreign demand for distillate products. Production activity was largely unchanged for metal fabricators, but demand remained quite depressed for producers of wood products. Food processors saw solid growth in orders and sales.
san_francisco|Agriculture and Resource-related Industries|2012|4|Demand for agricultural products and mined metals remained strong, while extraction activity of natural resources used for energy production was uneven. Final sales and orders were robust for a broad range of crop and livestock products, and recent precipitation has eased concerns in parts of the District about drought during the upcoming growing season. Contacts noted increases in the costs of some inputs, such as fertilizer. Expanding activity in the mining sector continued to be supported by high prices for a variety of precious metals and metallic elements used for specialized industrial purposes. Mild winter weather continued to tamp down demand for natural gas, prompting additional declines in extraction activity, while elevated price levels and robust foreign demand spurred further increases in oil extraction.
san_francisco|Real Estate and Construction|2012|4|District home demand improved slightly but remained weak on balance, and demand for commercial real estate was largely unchanged. Sales of new and existing homes continued to improve modestly in certain areas of the District, although the pace remained quite lackluster overall. Furthermore, despite relatively low interest rates, contacts noted that tight financing terms more generally held down the pace of sales. With inventories of available homes still very high, new construction activity stayed at depressed levels and home prices remained largely flat. Demand for commercial real estate continued to be weak overall, as reflected in elevated vacancy rates and limited leasing activity for office and industrial space in many parts of the District. On the other hand, growth in the technology sector has led to rapid absorption of commercial space in certain locales, such as the San Francisco Bay Area and Seattle. As a result, increased construction activity for new office space is expected for these areas over the next twelve months.
san_francisco|Financial Institutions|2012|4|District banking contacts reported that overall loan demand rose modestly since the prior reporting period, and credit quality and availability improved slightly. While businesses generally remained highly cautious about their capital spending plans, the volume of new commercial and industrial loans edged up as businesses continued to pursue targeted investments geared towards increasing productivity. On the consumer side, demand for credit was largely unchanged. Credit quality improved slightly, with reports indicating a general decline in loan delinquencies. Although lending standards have remained relatively restrictive for most types of business and consumer loans, contacts reported modest improvement in overall credit availability. The reports also indicated that competition among lenders has been creating downward pressure on rates and fees for well-qualified small and medium-sized businesses.
boston|Retail and Tourism|2012|4|Most First District retail contacts characterize year-to-date 2012 performance as strong, attributing this strength to mild winter weather and improving consumer sentiment. For February, year-over-year comparable-store sales increases ranged from low to high single digits, with the exception of one retailer citing a 23 percent rise. Furniture continues to sell well in the First District, as does apparel and other household items. Paper-based products are expected to see 3 percent to 4 percent price increases. While respondents are optimistic that performance will continue to be good, they remain cautious, noting that gasoline price increases might damp consumer sentiment.
boston|Manufacturing and Related Services|2012|4|None of the 10 First District manufacturing firms contacted this round saw year-over-year sales declines in recent months, but performance varied. A semiconductor machinery manufacturer which generates most of its sales in Asia reports flat sales in the first two months of 2012, an improvement over declining sales in the fourth quarter of 2011. By contrast, an information technology equipment provider cites 18 percent sales growth in 2011 and continued strong growth in the first quarter of 2012. Geography matters, as firms with large operations in Europe saw slower growth and some outright overseas declines whereas firms more focused on the U.S. and Asia experienced better results. A contact in the information technology sector argues that the end of 2011 was strong because customers held back on spending during the weak spring and summer period but then made sure to spend that money before the year ended.
boston|Selected Business Services|2012|4|Consulting and advertising contacts in the First District report increasing revenues in the first quarter of 2012 and most say that the pace of growth, while not rapid, is sustainable. Despite the fact that recent growth is generally slower than at the end of 2011, contacts are relatively upbeat, partly because the faster growth of late 2011 represented a recovery from a very weak third quarter, in which several contacts experienced declining revenues and laid off workers. Revenue results, while good for marketing and advertising firms, are stronger for consulting firms, especially economic consulting. A firm that focuses on marketing and promotional materials saw year-over-year growth of about 10 percent while another that focuses on advertising cites stable revenues recently after rapid growth in the latter half of 2011. Strategy and business consulting contacts report growth around 5 percent, as clients who had previously been sitting on large stockpiles of cash are beginning to spend them to address pent-up need for consulting services cut during the recession. Clients have reportedly begun to focus on increasing sales and positioning themselves within markets rather than solely on cutting costs. Economic consulting contacts note that demand is extremely strong for high-end consulting and revenue growth is limited mostly by their own capacity to respond. Demand for health care consulting is generally strong, with the exception of pharmaceuticals, but some business lines have slowed as firms wait until the uncertainty over health care reform clears up. One consulting firm has seen rapid growth due to two new large government contracts, but notes that individual consulting firms' prospects are contingent upon the funding status of and uncertainty surrounding the specific agencies with which they do business.
boston|Commercial Real Estate|2012|4|Reports from commercial real estate contacts in the First District indicate that conditions are largely unchanged since the last report. Boston's commercial property market remains more active than other New England markets, which are "quiet," a term one contact used to describe Portland. Contacts note that investment demand for prime office and apartment properties continues to be robust in Boston and expect it to remain so for the foreseeable future. Office and retail demand elsewhere in New England is moderate. Contacts in these areas do not foresee increases in vacancy rates, but note that a dearth of interest from potential entrants to these markets means they are unlikely to fall in the near future. Retail sector rents remain flat across the region and all contacts reported retail sector vacancy rates somewhere between flat and modestly decreasing.
